c1,c2,c1_depth,c2_depth,lcs_depth,wupalmer
Franois-Perrault,Sainte-Lucie,8,9,6,0.7058823529411765
Franois-Perrault,Middle Eastern,8,2,2,0.4
Franois-Perrault,South-East Asian,8,2,2,0.4
Franois-Perrault,East Asian,8,2,2,0.4
Franois-Perrault,Fast Food,8,2,2,0.4
Franois-Perrault,South Asian,8,2,1,0.2
Franois-Perrault,Caf,8,2,2,0.4
Franois-Perrault,French,8,2,1,0.2
Franois-Perrault,Pizza,8,2,2,0.4
Franois-Perrault,Latin,8,2,2,0.4
Franois-Perrault,Italian,8,2,1,0.2
Franois-Perrault,African,8,2,2,0.4
Franois-Perrault,Iberian,8,2,2,0.4
Mediterranean,Crmazie,2,9,1,0.18181818181818182
Mediterranean,Parc-Jarry,2,9,1,0.18181818181818182
Mediterranean,Villeray,2,10,2,0.3333333333333333
Mediterranean,Parc-Extension,2,8,2,0.4
Mediterranean,Gabriel-Sagard,2,7,2,0.4444444444444444
Mediterranean,Franois-Perrault,2,8,2,0.4
Mediterranean,Mediterranean,2,2,2,1.0
Mediterranean,Ren-Goupil,2,5,1,0.2857142857142857
Mediterranean,Sainte-Lucie,2,9,1,0.18181818181818182
Mediterranean,Middle Eastern,2,2,1,0.5
Mediterranean,South-East Asian,2,2,1,0.5
Mediterranean,East Asian,2,2,1,0.5
Mediterranean,Fast Food,2,2,1,0.5
Mediterranean,South Asian,2,2,1,0.5
Mediterranean,Caf,2,2,1,0.5
Mediterranean,French,2,2,1,0.5
Mediterranean,Pizza,2,2,1,0.5
Mediterranean,Latin,2,2,1,0.5
Mediterranean,Italian,2,2,1,0.5
Mediterranean,African,2,2,1,0.5
Mediterranean,Iberian,2,2,1,0.5
Ren-Goupil,Crmazie,5,9,4,0.5714285714285714
Ren-Goupil,Parc-Jarry,5,9,4,0.5714285714285714
Ren-Goupil,Villeray,5,10,5,0.6666666666666666
Ren-Goupil,Parc-Extension,5,8,4,0.6153846153846154
Ren-Goupil,Gabriel-Sagard,5,7,3,0.5
Ren-Goupil,Franois-Perrault,5,8,4,0.6153846153846154
Ren-Goupil,Mediterranean,5,2,1,0.2857142857142857
Ren-Goupil,Ren-Goupil,5,5,5,1.0
Ren-Goupil,Sainte-Lucie,5,9,3,0.42857142857142855
Ren-Goupil,Middle Eastern,5,2,2,0.5714285714285714
Ren-Goupil,South-East Asian,5,2,1,0.2857142857142857
Ren-Goupil,East Asian,5,2,1,0.2857142857142857
Ren-Goupil,Fast Food,5,2,1,0.2857142857142857
Ren-Goupil,South Asian,5,2,1,0.2857142857142857
Ren-Goupil,Caf,5,2,1,0.2857142857142857
Ren-Goupil,French,5,2,1,0.2857142857142857
Ren-Goupil,Pizza,5,2,2,0.5714285714285714
Ren-Goupil,Latin,5,2,2,0.5714285714285714
Ren-Goupil,Italian,5,2,1,0.2857142857142857
Ren-Goupil,African,5,2,1,0.2857142857142857
Ren-Goupil,Iberian,5,2,1,0.2857142857142857
Sainte-Lucie,Crmazie,9,9,7,0.7777777777777778
Sainte-Lucie,Parc-Jarry,9,9,8,0.8888888888888888
Sainte-Lucie,Villeray,9,10,9,0.9473684210526315
Sainte-Lucie,Parc-Extension,9,8,6,0.7058823529411765
Sainte-Lucie,Gabriel-Sagard,9,7,6,0.75
Sainte-Lucie,Franois-Perrault,9,8,6,0.7058823529411765
Sainte-Lucie,Mediterranean,9,2,1,0.18181818181818182
Sainte-Lucie,Ren-Goupil,9,5,3,0.42857142857142855
Sainte-Lucie,Sainte-Lucie,9,9,9,1.0
Sainte-Lucie,Middle Eastern,9,2,2,0.36363636363636365
Sainte-Lucie,South-East Asian,9,2,2,0.36363636363636365
Sainte-Lucie,East Asian,9,2,2,0.36363636363636365
Sainte-Lucie,Fast Food,9,2,2,0.36363636363636365
Sainte-Lucie,South Asian,9,2,2,0.36363636363636365
Sainte-Lucie,Caf,9,2,2,0.36363636363636365
Sainte-Lucie,French,9,2,2,0.36363636363636365
Sainte-Lucie,Pizza,9,2,1,0.18181818181818182
Sainte-Lucie,Latin,9,2,2,0.36363636363636365
Sainte-Lucie,Italian,9,2,2,0.36363636363636365
Sainte-Lucie,African,9,2,2,0.36363636363636365
Sainte-Lucie,Iberian,9,2,1,0.18181818181818182
Middle Eastern,Crmazie,2,9,2,0.36363636363636365
Middle Eastern,Parc-Jarry,2,9,2,0.36363636363636365
Middle Eastern,Villeray,2,10,2,0.3333333333333333
Middle Eastern,Parc-Extension,2,8,2,0.4
Middle Eastern,Gabriel-Sagard,2,7,2,0.4444444444444444
Middle Eastern,Franois-Perrault,2,8,2,0.4
Middle Eastern,Mediterranean,2,2,1,0.5
Middle Eastern,Ren-Goupil,2,5,2,0.5714285714285714
Middle Eastern,Sainte-Lucie,2,9,2,0.36363636363636365
Middle Eastern,Middle Eastern,2,2,2,1.0
Middle Eastern,South-East Asian,2,2,1,0.5
Middle Eastern,East Asian,2,2,1,0.5
Middle Eastern,Fast Food,2,2,1,0.5
Middle Eastern,South Asian,2,2,1,0.5
Middle Eastern,Caf,2,2,1,0.5
Middle Eastern,French,2,2,1,0.5
Middle Eastern,Pizza,2,2,1,0.5
Middle Eastern,Latin,2,2,1,0.5
Middle Eastern,Italian,2,2,1,0.5
Middle Eastern,African,2,2,1,0.5
Middle Eastern,Iberian,2,2,1,0.5
South-East Asian,Crmazie,2,9,2,0.36363636363636365
South-East Asian,Parc-Jarry,2,9,2,0.36363636363636365
South-East Asian,Villeray,2,10,2,0.3333333333333333
South-East Asian,Parc-Extension,2,8,2,0.4
South-East Asian,Gabriel-Sagard,2,7,2,0.4444444444444444
South-East Asian,Franois-Perrault,2,8,2,0.4
South-East Asian,Mediterranean,2,2,1,0.5
South-East Asian,Ren-Goupil,2,5,1,0.2857142857142857
South-East Asian,Sainte-Lucie,2,9,2,0.36363636363636365
South-East Asian,Middle Eastern,2,2,1,0.5
South-East Asian,South-East Asian,2,2,2,1.0
South-East Asian,East Asian,2,2,1,0.5
South-East Asian,Fast Food,2,2,1,0.5
South-East Asian,South Asian,2,2,1,0.5
South-East Asian,Caf,2,2,1,0.5
South-East Asian,French,2,2,1,0.5
South-East Asian,Pizza,2,2,1,0.5
South-East Asian,Latin,2,2,1,0.5
South-East Asian,Italian,2,2,1,0.5
South-East Asian,African,2,2,1,0.5
South-East Asian,Iberian,2,2,1,0.5
East Asian,Crmazie,2,9,2,0.36363636363636365
East Asian,Parc-Jarry,2,9,2,0.36363636363636365
East Asian,Villeray,2,10,2,0.3333333333333333
East Asian,Parc-Extension,2,8,1,0.2
East Asian,Gabriel-Sagard,2,7,2,0.4444444444444444
East Asian,Franois-Perrault,2,8,2,0.4
East Asian,Mediterranean,2,2,1,0.5
East Asian,Ren-Goupil,2,5,1,0.2857142857142857
East Asian,Sainte-Lucie,2,9,2,0.36363636363636365
East Asian,Middle Eastern,2,2,1,0.5
East Asian,South-East Asian,2,2,1,0.5
East Asian,East Asian,2,2,2,1.0
East Asian,Fast Food,2,2,1,0.5
East Asian,South Asian,2,2,1,0.5
East Asian,Caf,2,2,1,0.5
East Asian,French,2,2,1,0.5
East Asian,Pizza,2,2,1,0.5
East Asian,Latin,2,2,1,0.5
East Asian,Italian,2,2,1,0.5
East Asian,African,2,2,1,0.5
East Asian,Iberian,2,2,1,0.5
Fast Food,Crmazie,2,9,2,0.36363636363636365
Fast Food,Parc-Jarry,2,9,2,0.36363636363636365
Fast Food,Villeray,2,10,2,0.3333333333333333
Fast Food,Parc-Extension,2,8,2,0.4
Fast Food,Gabriel-Sagard,2,7,2,0.4444444444444444
Fast Food,Franois-Perrault,2,8,2,0.4
Fast Food,Mediterranean,2,2,1,0.5
Fast Food,Ren-Goupil,2,5,1,0.2857142857142857
Fast Food,Sainte-Lucie,2,9,2,0.36363636363636365
Fast Food,Middle Eastern,2,2,1,0.5
Fast Food,South-East Asian,2,2,1,0.5
Fast Food,East Asian,2,2,1,0.5
Fast Food,Fast Food,2,2,2,1.0
Fast Food,South Asian,2,2,1,0.5
Fast Food,Caf,2,2,1,0.5
Fast Food,French,2,2,1,0.5
Fast Food,Pizza,2,2,1,0.5
Fast Food,Latin,2,2,1,0.5
Fast Food,Italian,2,2,1,0.5
Fast Food,African,2,2,1,0.5
Fast Food,Iberian,2,2,1,0.5
South Asian,Crmazie,2,9,1,0.18181818181818182
South Asian,Parc-Jarry,2,9,2,0.36363636363636365
South Asian,Villeray,2,10,2,0.3333333333333333
South Asian,Parc-Extension,2,8,2,0.4
South Asian,Gabriel-Sagard,2,7,1,0.2222222222222222
South Asian,Franois-Perrault,2,8,1,0.2
South Asian,Mediterranean,2,2,1,0.5
South Asian,Ren-Goupil,2,5,1,0.2857142857142857
South Asian,Sainte-Lucie,2,9,2,0.36363636363636365
South Asian,Middle Eastern,2,2,1,0.5
South Asian,South-East Asian,2,2,1,0.5
South Asian,East Asian,2,2,1,0.5
South Asian,Fast Food,2,2,1,0.5
South Asian,South Asian,2,2,2,1.0
South Asian,Caf,2,2,1,0.5
South Asian,French,2,2,1,0.5
South Asian,Pizza,2,2,1,0.5
South Asian,Latin,2,2,1,0.5
South Asian,Italian,2,2,1,0.5
South Asian,African,2,2,1,0.5
South Asian,Iberian,2,2,1,0.5
Caf,Crmazie,2,9,2,0.36363636363636365
Caf,Parc-Jarry,2,9,2,0.36363636363636365
Caf,Villeray,2,10,2,0.3333333333333333
Caf,Parc-Extension,2,8,2,0.4
Caf,Gabriel-Sagard,2,7,2,0.4444444444444444
Caf,Franois-Perrault,2,8,2,0.4
Caf,Mediterranean,2,2,1,0.5
Caf,Ren-Goupil,2,5,1,0.2857142857142857
Caf,Sainte-Lucie,2,9,2,0.36363636363636365
Caf,Middle Eastern,2,2,1,0.5
Caf,South-East Asian,2,2,1,0.5
Caf,East Asian,2,2,1,0.5
Caf,Fast Food,2,2,1,0.5
Caf,South Asian,2,2,1,0.5
Caf,Caf,2,2,2,1.0
Caf,French,2,2,1,0.5
Caf,Pizza,2,2,1,0.5
Caf,Latin,2,2,1,0.5
Caf,Italian,2,2,1,0.5
Caf,African,2,2,1,0.5
Caf,Iberian,2,2,1,0.5
French,Crmazie,2,9,2,0.36363636363636365
French,Parc-Jarry,2,9,2,0.36363636363636365
French,Villeray,2,10,2,0.3333333333333333
French,Parc-Extension,2,8,2,0.4
French,Gabriel-Sagard,2,7,2,0.4444444444444444
French,Franois-Perrault,2,8,1,0.2
French,Mediterranean,2,2,1,0.5
French,Ren-Goupil,2,5,1,0.2857142857142857
French,Sainte-Lucie,2,9,2,0.36363636363636365
French,Middle Eastern,2,2,1,0.5
French,South-East Asian,2,2,1,0.5
French,East Asian,2,2,1,0.5
French,Fast Food,2,2,1,0.5
French,South Asian,2,2,1,0.5
French,Caf,2,2,1,0.5
French,French,2,2,2,1.0
French,Pizza,2,2,1,0.5
French,Latin,2,2,1,0.5
French,Italian,2,2,1,0.5
French,African,2,2,1,0.5
French,Iberian,2,2,1,0.5
Pizza,Crmazie,2,9,2,0.36363636363636365
Pizza,Parc-Jarry,2,9,2,0.36363636363636365
Pizza,Villeray,2,10,2,0.3333333333333333
Pizza,Parc-Extension,2,8,2,0.4
Pizza,Gabriel-Sagard,2,7,1,0.2222222222222222
Pizza,Franois-Perrault,2,8,2,0.4
Pizza,Mediterranean,2,2,1,0.5
Pizza,Ren-Goupil,2,5,2,0.5714285714285714
Pizza,Sainte-Lucie,2,9,1,0.18181818181818182
Pizza,Middle Eastern,2,2,1,0.5
Pizza,South-East Asian,2,2,1,0.5
Pizza,East Asian,2,2,1,0.5
Pizza,Fast Food,2,2,1,0.5
Pizza,South Asian,2,2,1,0.5
Pizza,Caf,2,2,1,0.5
Pizza,French,2,2,1,0.5
Pizza,Pizza,2,2,2,1.0
Pizza,Latin,2,2,1,0.5
Pizza,Italian,2,2,1,0.5
Pizza,African,2,2,1,0.5
Pizza,Iberian,2,2,1,0.5
Latin,Crmazie,2,9,2,0.36363636363636365
Latin,Parc-Jarry,2,9,2,0.36363636363636365
Latin,Villeray,2,10,2,0.3333333333333333
Latin,Parc-Extension,2,8,2,0.4
Latin,Gabriel-Sagard,2,7,2,0.4444444444444444
Latin,Franois-Perrault,2,8,2,0.4
Latin,Mediterranean,2,2,1,0.5
Latin,Ren-Goupil,2,5,2,0.5714285714285714
Latin,Sainte-Lucie,2,9,2,0.36363636363636365
Latin,Middle Eastern,2,2,1,0.5
Latin,South-East Asian,2,2,1,0.5
Latin,East Asian,2,2,1,0.5
Latin,Fast Food,2,2,1,0.5
Latin,South Asian,2,2,1,0.5
Latin,Caf,2,2,1,0.5
Latin,French,2,2,1,0.5
Latin,Pizza,2,2,1,0.5
Latin,Latin,2,2,2,1.0
Latin,Italian,2,2,1,0.5
Latin,African,2,2,1,0.5
Latin,Iberian,2,2,1,0.5
Italian,Crmazie,2,9,2,0.36363636363636365
Italian,Parc-Jarry,2,9,2,0.36363636363636365
Italian,Villeray,2,10,2,0.3333333333333333
Italian,Parc-Extension,2,8,1,0.2
Italian,Gabriel-Sagard,2,7,2,0.4444444444444444
Italian,Franois-Perrault,2,8,1,0.2
Italian,Mediterranean,2,2,1,0.5
Italian,Ren-Goupil,2,5,1,0.2857142857142857
Italian,Sainte-Lucie,2,9,2,0.36363636363636365
Italian,Middle Eastern,2,2,1,0.5
Italian,South-East Asian,2,2,1,0.5
Italian,East Asian,2,2,1,0.5
Italian,Fast Food,2,2,1,0.5
Italian,South Asian,2,2,1,0.5
Italian,Caf,2,2,1,0.5
Italian,French,2,2,1,0.5
Italian,Pizza,2,2,1,0.5
Italian,Latin,2,2,1,0.5
Italian,Italian,2,2,2,1.0
Italian,African,2,2,1,0.5
Italian,Iberian,2,2,1,0.5
African,Crmazie,2,9,2,0.36363636363636365
African,Parc-Jarry,2,9,2,0.36363636363636365
African,Villeray,2,10,2,0.3333333333333333
African,Parc-Extension,2,8,1,0.2
African,Gabriel-Sagard,2,7,1,0.2222222222222222
African,Franois-Perrault,2,8,2,0.4
African,Mediterranean,2,2,1,0.5
African,Ren-Goupil,2,5,1,0.2857142857142857
African,Sainte-Lucie,2,9,2,0.36363636363636365
African,Middle Eastern,2,2,1,0.5
African,South-East Asian,2,2,1,0.5
African,East Asian,2,2,1,0.5
African,Fast Food,2,2,1,0.5
African,South Asian,2,2,1,0.5
African,Caf,2,2,1,0.5
African,French,2,2,1,0.5
African,Pizza,2,2,1,0.5
African,Latin,2,2,1,0.5
African,Italian,2,2,1,0.5
African,African,2,2,2,1.0
African,Iberian,2,2,1,0.5
Iberian,Crmazie,2,9,2,0.36363636363636365
Iberian,Parc-Jarry,2,9,2,0.36363636363636365
Iberian,Villeray,2,10,2,0.3333333333333333
Iberian,Parc-Extension,2,8,2,0.4
Iberian,Gabriel-Sagard,2,7,1,0.2222222222222222
Iberian,Franois-Perrault,2,8,2,0.4
Iberian,Mediterranean,2,2,1,0.5
Iberian,Ren-Goupil,2,5,1,0.2857142857142857
Iberian,Sainte-Lucie,2,9,1,0.18181818181818182
Iberian,Middle Eastern,2,2,1,0.5
Iberian,South-East Asian,2,2,1,0.5
Iberian,East Asian,2,2,1,0.5
Iberian,Fast Food,2,2,1,0.5
Iberian,South Asian,2,2,1,0.5
Iberian,Caf,2,2,1,0.5
Iberian,French,2,2,1,0.5
Iberian,Pizza,2,2,1,0.5
Iberian,Latin,2,2,1,0.5
Iberian,Italian,2,2,1,0.5
Iberian,African,2,2,1,0.5
Iberian,Iberian,2,2,2,1.0
