c1,c2,c1_height,c2_height,lcs_height,wupalmer
Middle Eastern,Latin,9,9,8,0.8888888888888888
Middle Eastern,Mediterranean,9,5,4,0.5714285714285714
Middle Eastern,Crmazie,9,2,2,0.36363636363636365
Middle Eastern,Parc-Extension,9,2,2,0.36363636363636365
Middle Eastern,South Asian,9,5,4,0.5714285714285714
Middle Eastern,Villeray,9,1,1,0.2
Middle Eastern,Gabriel-Sagard,9,2,2,0.36363636363636365
Middle Eastern,Sainte-Lucie,9,2,2,0.36363636363636365
Middle Eastern,Ren-Goupil,9,2,2,0.36363636363636365
Middle Eastern,Parc-Jarry,9,2,2,0.36363636363636365
Middle Eastern,Franois-Perrault,9,2,2,0.36363636363636365
Fast Food,French,8,7,6,0.8
Fast Food,African,8,6,5,0.7142857142857143
Fast Food,Italian,8,6,5,0.7142857142857143
Fast Food,Pizza,8,7,5,0.6666666666666666
Fast Food,South-East Asian,8,8,7,0.875
Fast Food,Caf,8,8,7,0.875
Fast Food,Middle Eastern,8,9,7,0.8235294117647058
Fast Food,Fast Food,8,8,8,1.0
Fast Food,Iberian,8,6,5,0.7142857142857143
Fast Food,East Asian,8,7,6,0.8
Fast Food,Latin,8,9,7,0.8235294117647058
Fast Food,Mediterranean,8,5,4,0.6153846153846154
Fast Food,Crmazie,8,2,2,0.4
Fast Food,Parc-Extension,8,2,2,0.4
Fast Food,South Asian,8,5,4,0.6153846153846154
Fast Food,Villeray,8,1,1,0.2222222222222222
Fast Food,Gabriel-Sagard,8,2,2,0.4
Fast Food,Sainte-Lucie,8,2,2,0.4
Fast Food,Ren-Goupil,8,2,1,0.2
Fast Food,Parc-Jarry,8,2,2,0.4
Fast Food,Franois-Perrault,8,2,2,0.4
Iberian,French,6,7,4,0.6153846153846154
Iberian,African,6,6,4,0.6666666666666666
Iberian,Italian,6,6,3,0.5
Iberian,Pizza,6,7,5,0.7692307692307693
Iberian,South-East Asian,6,8,5,0.7142857142857143
Iberian,Caf,6,8,5,0.7142857142857143
Iberian,Middle Eastern,6,9,5,0.6666666666666666
Iberian,Fast Food,6,8,5,0.7142857142857143
Iberian,Iberian,6,6,6,1.0
Iberian,East Asian,6,7,4,0.6153846153846154
Iberian,Latin,6,9,5,0.6666666666666666
Iberian,Mediterranean,6,5,3,0.5454545454545454
Iberian,Crmazie,6,2,2,0.5
Iberian,Parc-Extension,6,2,2,0.5
Iberian,South Asian,6,5,3,0.5454545454545454
Iberian,Villeray,6,1,1,0.2857142857142857
Iberian,Gabriel-Sagard,6,2,1,0.25
Iberian,Sainte-Lucie,6,2,1,0.25
Iberian,Ren-Goupil,6,2,1,0.25
Iberian,Parc-Jarry,6,2,2,0.5
Iberian,Franois-Perrault,6,2,2,0.5
East Asian,French,7,7,5,0.7142857142857143
East Asian,African,7,6,5,0.7692307692307693
East Asian,Italian,7,6,5,0.7692307692307693
East Asian,Pizza,7,7,4,0.5714285714285714
East Asian,South-East Asian,7,8,6,0.8
East Asian,Caf,7,8,6,0.8
East Asian,Middle Eastern,7,9,6,0.75
East Asian,Fast Food,7,8,6,0.8
East Asian,Iberian,7,6,4,0.6153846153846154
East Asian,East Asian,7,7,7,1.0
East Asian,Latin,7,9,6,0.75
East Asian,Mediterranean,7,5,3,0.5
East Asian,Crmazie,7,2,2,0.4444444444444444
East Asian,Parc-Extension,7,2,1,0.2222222222222222
East Asian,South Asian,7,5,3,0.5
East Asian,Villeray,7,1,1,0.25
East Asian,Gabriel-Sagard,7,2,2,0.4444444444444444
East Asian,Sainte-Lucie,7,2,2,0.4444444444444444
East Asian,Ren-Goupil,7,2,1,0.2222222222222222
East Asian,Parc-Jarry,7,2,2,0.4444444444444444
East Asian,Franois-Perrault,7,2,2,0.4444444444444444
Latin,French,9,7,6,0.75
Latin,African,9,6,5,0.6666666666666666
Latin,Italian,9,6,5,0.6666666666666666
Latin,Pizza,9,7,6,0.75
Latin,South-East Asian,9,8,7,0.8235294117647058
Latin,Caf,9,8,7,0.8235294117647058
Latin,Middle Eastern,9,9,8,0.8888888888888888
Latin,Fast Food,9,8,7,0.8235294117647058
Latin,Iberian,9,6,5,0.6666666666666666
Latin,East Asian,9,7,6,0.75
Latin,Latin,9,9,9,1.0
Latin,Mediterranean,9,5,4,0.5714285714285714
Latin,Crmazie,9,2,2,0.36363636363636365
Latin,Parc-Extension,9,2,2,0.36363636363636365
Latin,South Asian,9,5,4,0.5714285714285714
Latin,Villeray,9,1,1,0.2
Latin,Gabriel-Sagard,9,2,2,0.36363636363636365
Latin,Sainte-Lucie,9,2,2,0.36363636363636365
Latin,Ren-Goupil,9,2,2,0.36363636363636365
Latin,Parc-Jarry,9,2,2,0.36363636363636365
Latin,Franois-Perrault,9,2,2,0.36363636363636365
Mediterranean,French,5,7,3,0.5
Mediterranean,African,5,6,2,0.36363636363636365
Mediterranean,Italian,5,6,2,0.36363636363636365
Mediterranean,Pizza,5,7,3,0.5
Mediterranean,South-East Asian,5,8,4,0.6153846153846154
Mediterranean,Caf,5,8,4,0.6153846153846154
Mediterranean,Middle Eastern,5,9,4,0.5714285714285714
Mediterranean,Fast Food,5,8,4,0.6153846153846154
Mediterranean,Iberian,5,6,3,0.5454545454545454
Mediterranean,East Asian,5,7,3,0.5
Mediterranean,Latin,5,9,4,0.5714285714285714
Mediterranean,Mediterranean,5,5,5,1.0
Mediterranean,Crmazie,5,2,1,0.2857142857142857
Mediterranean,Parc-Extension,5,2,2,0.5714285714285714
Mediterranean,South Asian,5,5,2,0.4
Mediterranean,Villeray,5,1,1,0.3333333333333333
Mediterranean,Gabriel-Sagard,5,2,2,0.5714285714285714
Mediterranean,Sainte-Lucie,5,2,1,0.2857142857142857
Mediterranean,Ren-Goupil,5,2,1,0.2857142857142857
Mediterranean,Parc-Jarry,5,2,1,0.2857142857142857
Mediterranean,Franois-Perrault,5,2,2,0.5714285714285714
Crmazie,French,2,7,2,0.4444444444444444
Crmazie,African,2,6,2,0.5
Crmazie,Italian,2,6,2,0.5
Crmazie,Pizza,2,7,2,0.4444444444444444
Crmazie,South-East Asian,2,8,2,0.4
Crmazie,Caf,2,8,2,0.4
Crmazie,Middle Eastern,2,9,2,0.36363636363636365
Crmazie,Fast Food,2,8,2,0.4
Crmazie,Iberian,2,6,2,0.5
Crmazie,East Asian,2,7,2,0.4444444444444444
Crmazie,Latin,2,9,2,0.36363636363636365
Crmazie,Mediterranean,2,5,1,0.2857142857142857
Crmazie,Crmazie,2,2,2,1.0
Crmazie,Parc-Extension,2,2,1,0.5
Crmazie,South Asian,2,5,1,0.2857142857142857
Crmazie,Villeray,2,1,1,0.6666666666666666
Crmazie,Gabriel-Sagard,2,2,1,0.5
Crmazie,Sainte-Lucie,2,2,1,0.5
Crmazie,Ren-Goupil,2,2,1,0.5
Crmazie,Parc-Jarry,2,2,1,0.5
Crmazie,Franois-Perrault,2,2,1,0.5
Parc-Extension,French,2,7,2,0.4444444444444444
Parc-Extension,African,2,6,1,0.25
Parc-Extension,Italian,2,6,1,0.25
Parc-Extension,Pizza,2,7,2,0.4444444444444444
Parc-Extension,South-East Asian,2,8,2,0.4
Parc-Extension,Caf,2,8,2,0.4
Parc-Extension,Middle Eastern,2,9,2,0.36363636363636365
Parc-Extension,Fast Food,2,8,2,0.4
Parc-Extension,Iberian,2,6,2,0.5
Parc-Extension,East Asian,2,7,1,0.2222222222222222
