Parc-Jarry,Villeray,Parc-Extension,Gabriel-Sagard,Franois-Perrault,Mediterranean,Ren-Goupil,Sainte-Lucie,Middle Eastern,South-East Asian,East Asian,Fast Food,South Asian,Caf,French,Pizza,Latin,Italian,African,Iberian
Crmazie,1.0,0.8888888888888888,0.9473684210526315,0.7058823529411765,0.75,0.8235294117647058,0.18181818181818182,0.5714285714285714,0.7777777777777778,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
Parc-Jarry,0.8888888888888888,1.0,0.9473684210526315,0.8235294117647058,0.75,0.8235294117647058,0.18181818181818182,0.5714285714285714,0.8888888888888888,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
Villeray,0.9473684210526315,0.9473684210526315,1.0,0.8888888888888888,0.8235294117647058,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.9473684210526315,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Parc-Extension,0.7058823529411765,0.8235294117647058,0.8888888888888888,1.0,0.8,0.75,0.4,0.6153846153846154,0.7058823529411765,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.4
Gabriel-Sagard,0.75,0.75,0.8235294117647058,0.8,1.0,0.8,0.4444444444444444,0.5,0.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222
Franois-Perrault,0.8235294117647058,0.8235294117647058,0.8888888888888888,0.75,0.8,1.0,0.4,0.6153846153846154,0.7058823529411765,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.4
Mediterranean,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.4,0.4444444444444444,0.4,1.0,0.2857142857142857,0.18181818181818182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Ren-Goupil,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5,0.6153846153846154,0.2857142857142857,1.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857
Sainte-Lucie,0.7777777777777778,0.8888888888888888,0.9473684210526315,0.7058823529411765,0.75,0.7058823529411765,0.18181818181818182,0.42857142857142855,1.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182
Middle Eastern,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.4,0.5,0.5714285714285714,0.36363636363636365,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
South-East Asian,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.4,0.5,0.2857142857142857,0.36363636363636365,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
East Asian,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.2,0.4444444444444444,0.4,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fast Food,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.4,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
South Asian,0.18181818181818182,0.36363636363636365,0.3333333333333333,0.4,0.2222222222222222,0.2,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Caf,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.4,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
French,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.2,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
Pizza,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.2222222222222222,0.4,0.5,0.5714285714285714,0.18181818181818182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
Latin,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4,0.4444444444444444,0.4,0.5,0.5714285714285714,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Italian,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.2,0.4444444444444444,0.2,0.5,0.2857142857142857,0.36363636363636365,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
